,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
0,鼓山區,房地(土地+建物),住,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,4,24.614425,20.232038733384996,16,0,0.5
1,鼓山區,房地(土地+建物)+車位,商,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,42.661575,21.09626754286498,13,1,0.7333333333333333
10,鼓山區,房地(土地+建物)+車位,住,7,28,住宅大樓(11層含以上有電梯),4,1,0.0,8,88.1727,23.499337096402854,7,1,0.7142857142857143
12,鼓山區,房地(土地+建物),商,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,37.827625,18.504994696336343,13,0,0.26666666666666666
17,苓雅區,房地(土地+建物),商,7,35,住宅大樓(11層含以上有電梯),4,0,0.0,7,38.323724999999996,13.881740357963638,22,0,0.4857142857142857
20,新興區,房地(土地+建物)+車位,商,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,4,32.54295,18.43717302825958,17,1,0.8571428571428571
29,新興區,房地(土地+建物),商,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,4,21.83445,26.563526903585846,4,0,0.8666666666666667
36,前鎮區,房地(土地+建物)+車位,商,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,4,30.177400000000002,25.18440952500878,8,1,0.6666666666666666
37,小港區,房地(土地+建物),住,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,46.551725,13.855555298971199,5,0,0.8666666666666667
48,前鎮區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,9,20.811999999999998,29.790505477609074,48,0,1.0
54,三民區,房地(土地+建物)+車位,商,7,18,住宅大樓(11層含以上有電梯),4,1,0.0,7,37.4011,12.566475317570873,26,1,0.5
57,三民區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,6,6.8637250000000005,17.544467472108803,52,0,1.0
58,三民區,房地(土地+建物),住,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,35.026475,15.987906290884254,23,0,0.5714285714285714
59,三民區,房地(土地+建物),住,7,7,華廈(10層含以下有電梯),4,1,0.0,5,22.751025,11.42805653811202,27,0,1.0
60,三民區,房地(土地+建物),商,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,6,30.18345,11.264451214158752,21,0,0.7857142857142857
65,左營區,房地(土地+建物)+車位,住,7,11,住宅大樓(11層含以上有電梯),4,1,0.0,7,38.184575,13.87995021549932,26,1,0.36363636363636365
71,左營區,房地(土地+建物),商,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,4,25.050025,23.473030466037457,5,0,1.0
83,左營區,房地(土地+建物)+車位,商,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,59.33234999999999,22.382393416070663,5,1,0.8
84,左營區,房地(土地+建物),住,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,8,39.21005,15.684754291310517,27,0,0.42857142857142855
101,鳳山區,房地(土地+建物),住,7,12,住宅大樓(11層含以上有電梯),4,1,0.0,3,49.014075,17.54598041480942,19,0,0.4166666666666667
103,鳳山區,房地(土地+建物),住,7,5,公寓(5樓含以下無電梯),4,0,0.0,7,24.3936,13.856093401547948,39,0,0.8
107,鳳山區,房地(土地+建物),住,7,7,華廈(10層含以下有電梯),4,1,0.0,6,32.382625,11.734687969242767,23,0,0.42857142857142855
109,鳳山區,房地(土地+建物)+車位,住,7,8,華廈(10層含以下有電梯),4,1,0.0,7,33.435325,14.05698912751708,25,1,0.125
124,仁武區,房地(土地+建物),住,7,5,套房(1房1廳1衛),4,0,0.0,3,11.425425,11.3781325421155,25,0,0.6
158,三民區,房地(土地+建物)+車位,住,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,8,57.95295,15.529839292046393,14,2,0.8666666666666667
174,前鎮區,房地(土地+建物)+車位,住,7,27,住宅大樓(11層含以上有電梯),4,1,0.0,8,54.831149999999994,16.724070168143474,22,1,0.6296296296296297
184,楠梓區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,6,39.070899999999995,12.797248079772928,51,0,1.0
190,大寮區,房地(土地+建物),商,7,10,華廈(10層含以下有電梯),4,1,0.0,7,30.924575,11.317859663390685,25,0,0.7
223,仁武區,房地(土地+建物),住,7,5,透天厝,4,0,0.0,9,59.7377,13.057081206675182,24,0,1.0
224,鳥松區,房地(土地+建物)+車位,住,7,7,華廈(10層含以下有電梯),4,1,0.0,8,51.467349999999996,14.280898472526758,23,1,1.0
230,鳳山區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,9,27.167525,22.269235051775972,34,0,1.0
240,鳳山區,房地(土地+建物)+車位,住,7,13,住宅大樓(11層含以上有電梯),4,1,0.0,8,54.952149999999996,14.139574156789134,20,1,0.38461538461538464
261,楠梓區,房地(土地+建物)+車位,住,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,4,34.5455,15.342085076203848,7,1,0.8
268,左營區,房地(土地+建物)+車位,住,7,8,華廈(10層含以下有電梯),4,1,0.0,7,33.83765,13.446560266448765,26,1,0.625
285,左營區,房地(土地+建物),住,7,13,套房(1房1廳1衛),4,1,0.0,3,13.04985,19.923600654413654,23,0,0.5384615384615384
289,三民區,房地(土地+建物),商,7,2,透天厝,5,0,0.0,6,22.12485,10.39555070429856,51,0,1.0
299,三民區,房地(土地+建物),住,7,4,公寓(5樓含以下無電梯),5,0,0.0,7,20.97535,18.5932535094766,50,0,0.25
310,前鎮區,房地(土地+建物),住,7,12,住宅大樓(11層含以上有電梯),4,1,0.0,7,41.996075000000005,14.763284425985045,25,0,0.16666666666666666
313,前鎮區,房地(土地+建物),商,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,36.466375,19.14092091687205,13,0,1.0
326,新興區,房地(土地+建物),商,7,14,套房(1房1廳1衛),4,1,0.0,3,12.934899999999999,16.235146773457856,19,0,0.5
344,前金區,房地(土地+建物)+車位,住,7,20,住宅大樓(11層含以上有電梯),4,0,0.0,7,39.037625000000006,16.65060310405666,24,1,0.8
358,鼓山區,房地(土地+建物),商,7,16,套房(1房1廳1衛),4,0,0.0,3,17.5571,12.53054319904768,28,0,0.375
368,苓雅區,房地(土地+建物)+車位,商,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,47.1779,21.196365247287396,12,1,0.6666666666666666
383,苓雅區,房地(土地+建物),住,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,32.068025,14.968180921650148,20,0,0.21428571428571427
386,前鎮區,房地(土地+建物),商,7,20,套房(1房1廳1衛),4,1,0.0,3,12.348049999999999,16.196889387393153,25,0,0.5
390,小港區,房地(土地+建物)+車位,住,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,51.546,15.617118690102044,5,1,0.7333333333333333
410,三民區,房地(土地+建物),商,7,8,套房(1房1廳1衛),4,0,0.0,3,19.99525,12.753028844350535,24,0,0.375
451,岡山區,房地(土地+建物),住,7,7,華廈(10層含以下有電梯),4,0,0.0,7,36.05195,10.762247257083182,26,0,0.8571428571428571
536,大寮區,房地(土地+建物),住,7,2,透天厝,4,0,0.0,9,29.5482,12.11579723976418,32,0,1.0
551,湖內區,房地(土地+建物),住,7,3,透天厝,4,0,0.0,8,40.410975,17.32202699885365,17,0,1.0
560,小港區,房地(土地+建物),住,7,4,透天厝,4,1,0.0,9,62.130475,12.2323223828564,23,0,1.0
573,楠梓區,房地(土地+建物)+車位,住,7,9,華廈(10層含以下有電梯),4,0,0.0,7,35.610299999999995,10.109434629868327,26,1,0.7777777777777778
574,楠梓區,房地(土地+建物)+車位,商,7,20,住宅大樓(11層含以上有電梯),4,1,0.0,7,42.443775,15.314377667867667,6,1,0.45
601,鳥松區,房地(土地+建物),住,7,7,華廈(10層含以下有電梯),4,0,0.0,5,12.732225000000001,15.708173551755484,42,0,0.8571428571428571
626,岡山區,房地(土地+建物),商,7,16,套房(1房1廳1衛),4,1,0.0,3,18.618875,16.112681351585422,25,0,0.5625
646,楠梓區,房地(土地+建物),住,7,8,華廈(10層含以下有電梯),4,0,0.0,7,41.5998,10.865436853061793,25,0,0.75
715,前鎮區,房地(土地+建物)+車位,住,7,7,華廈(10層含以下有電梯),4,1,0.0,8,45.99815,15.218003332742729,31,1,1.0
729,新興區,房地(土地+建物),住,7,15,住宅大樓(11層含以上有電梯),4,1,0.0,4,21.96755,26.493623549280645,4,0,0.9333333333333333
741,鹽埕區,房地(土地+建物)+車位,商,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,41.826675,26.777170310573336,13,1,0.7142857142857143
