,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
0,西區,房地(土地+建物),住,7,3,公寓(5樓含以下無電梯),4,0,0.0,6,19.46285,16.698479410774887,45,0,1.0
1,西區,房地(土地+建物),住,7,7,華廈(10層含以下有電梯),4,1,0.0,3,8.9298,16.797688638043404,26,0,0.5714285714285714
3,南區,房地(土地+建物)+車位,住,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,5,31.1333,19.27196924193709,19,1,0.6428571428571429
10,西區,房地(土地+建物)+車位,住,7,5,華廈(10層含以下有電梯),4,1,100.0,6,44.355574999999995,19.5014944570102,27,1,1.0
17,西區,房地(土地+建物),商,7,12,套房(1房1廳1衛),4,1,0.0,2,11.044274999999999,10.41263460027933,25,0,0.6666666666666666
21,南區,房地(土地+建物),住,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,32.600425,17.484434635438035,21,0,0.6428571428571429
29,北區,房地(土地+建物),住,7,5,公寓(5樓含以下無電梯),4,0,0.0,6,20.367324999999997,17.920860986899363,36,0,0.4
30,北區,房地(土地+建物),商,7,12,套房(1房1廳1衛),4,1,0.0,2,8.394375,13.104013104013104,37,0,0.5833333333333334
32,北區,房地(土地+建物)+車位,住,7,17,住宅大樓(11層含以上有電梯),4,0,0.0,7,48.257825,17.820944064511817,25,1,0.47058823529411764
35,北區,房地(土地+建物),住,7,2,透天厝,5,0,0.0,9,34.270225,25.38646886619507,31,0,1.0
36,北屯區,房地(土地+建物)+車位,住,7,16,住宅大樓(11層含以上有電梯),4,1,0.0,7,61.870325,12.122128015328835,26,1,0.4375
37,北屯區,房地(土地+建物),住,7,5,公寓(5樓含以下無電梯),4,0,0.0,6,29.3909,12.18064094668758,31,0,0.4
39,北區,房地(土地+建物),住,7,5,套房(1房1廳1衛),4,1,0.0,3,6.210325,18.517549403614144,31,0,0.8
41,北區,房地(土地+建物),商,7,12,住宅大樓(11層含以上有電梯),4,1,0.0,3,21.323224999999997,16.88299964006383,10,0,0.5833333333333334
