,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
0,桃園區,房地(土地+建物),商,108,14,住宅大樓(11層含以上有電梯),4,1,0,24.442,22,4,0.9285714285714286
1,桃園區,房地(土地+建物)+車位,住,108,29,住宅大樓(11層含以上有電梯),4,1,0,70.9181,6,8,0.3448275862068966
2,桃園區,房地(土地+建物)+車位,商,108,19,住宅大樓(11層含以上有電梯),4,1,0,46.805825,6,7,0.6842105263157895
3,桃園區,房地(土地+建物),住,108,17,住宅大樓(11層含以上有電梯),4,1,0,33.883025,24,7,0.6470588235294118
4,桃園區,房地(土地+建物)+車位,住,108,10,華廈(10層含以下有電梯),4,1,0,37.954675,14,7,0.9
7,桃園區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,31.97425,38,7,0.6
16,桃園區,房地(土地+建物),商,108,10,華廈(10層含以下有電梯),4,1,0,25.83955,34,4,0.8
21,中壢區,房地(土地+建物)+車位,住,108,14,住宅大樓(11層含以上有電梯),4,1,0,60.914425,16,8,0.8571428571428571
22,中壢區,房地(土地+建物),住,108,10,套房(1房1廳1衛),4,1,0,10.46045,13,3,0.6
23,中壢區,房地(土地+建物)+車位,商,108,10,華廈(10層含以下有電梯),4,1,0,35.725249999999996,19,5,0.5
24,觀音區,房地(土地+建物)+車位,住,108,5,華廈(10層含以下有電梯),4,1,2400000,54.440925,1,8,1.0
25,龍潭區,房地(土地+建物),其他,108,14,套房(1房1廳1衛),4,0,0,15.2218,21,3,0.9285714285714286
26,楊梅區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,21.063074999999998,21,5,0.7142857142857143
27,楊梅區,房地(土地+建物),住,108,2,透天厝,5,0,0,27.019299999999998,38,10,1.0
30,大園區,房地(土地+建物)+車位,住,108,22,住宅大樓(11層含以上有電梯),4,1,1000000,37.845774999999996,2,4,0.18181818181818182
33,蘆竹區,房地(土地+建物)+車位,住,108,14,住宅大樓(11層含以上有電梯),4,1,0,47.422925,14,7,0.9285714285714286
34,蘆竹區,房地(土地+建物)+車位,商,108,12,住宅大樓(11層含以上有電梯),4,1,0,51.68515,12,8,0.75
35,蘆竹區,房地(土地+建物)+車位,住,108,5,公寓(5樓含以下無電梯),4,1,0,44.887975,26,7,0.2
40,八德區,房地(土地+建物)+車位,住,108,13,住宅大樓(11層含以上有電梯),4,1,0,63.431225,6,8,0.5384615384615384
41,八德區,房地(土地+建物)+車位,住,108,4,透天厝,4,1,0,79.37599999999999,9,11,1.0
42,八德區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,34.560625,37,10,0.8
44,八德區,房地(土地+建物)+車位,商,108,9,華廈(10層含以下有電梯),4,1,0,56.022999999999996,27,7,0.4444444444444444
51,八德區,房地(土地+建物),住,108,4,透天厝,4,0,0,10.3818,27,9,1.0
52,八德區,房地(土地+建物)+車位,商,108,16,住宅大樓(11層含以上有電梯),4,1,1400000,60.097674999999995,4,7,0.375
54,平鎮區,房地(土地+建物),住,108,13,住宅大樓(11層含以上有電梯),4,1,0,38.847049999999996,24,8,0.6923076923076923
