,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
0,土城區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,21.96755,22,5,0.75
1,板橋區,房地(土地+建物),住,108,23,住宅大樓(11層含以上有電梯),4,1,0,39.11325,21,8,0.782608695652174
3,板橋區,房地(土地+建物)+車位,住,108,13,住宅大樓(11層含以上有電梯),4,1,0,45.051325,18,7,0.15384615384615385
5,土城區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,26.7652,38,6,0.6
7,林口區,房地(土地+建物)+車位,商,108,11,住宅大樓(11層含以上有電梯),4,1,0,59.33234999999999,10,8,0.6363636363636364
8,林口區,房地(土地+建物)+車位,住,108,12,住宅大樓(11層含以上有電梯),4,1,0,45.69565,11,7,0.9166666666666666
9,新莊區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,31.922825,32,7,0.6
10,五股區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,26.4385,35,6,0.8
14,新莊區,房地(土地+建物),商,108,12,住宅大樓(11層含以上有電梯),4,1,0,12.027399999999998,26,2,0.16666666666666666
15,新莊區,房地(土地+建物),住,108,21,住宅大樓(11層含以上有電梯),4,1,0,24.563,21,5,0.9523809523809523
16,泰山區,房地(土地+建物),商,108,16,住宅大樓(11層含以上有電梯),4,1,0,37.234725,24,8,0.25
17,新莊區,房地(土地+建物)+車位,住,108,15,住宅大樓(11層含以上有電梯),4,1,0,63.80329999999999,27,8,0.5333333333333333
20,新店區,房地(土地+建物)+車位,商,108,14,住宅大樓(11層含以上有電梯),4,1,0,45.8832,20,7,0.35714285714285715
21,新店區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,30.3589,40,7,0.8
23,深坑區,房地(土地+建物),住,108,10,華廈(10層含以下有電梯),4,1,0,34.899425,23,7,0.1
25,新店區,房地(土地+建物)+車位,住,108,23,住宅大樓(11層含以上有電梯),4,1,0,42.461925,6,7,0.2608695652173913
26,新店區,房地(土地+建物),其他,108,5,公寓(5樓含以下無電梯),4,0,0,31.608224999999997,35,7,0.6
29,汐止區,房地(土地+建物),住,108,14,套房(1房1廳1衛),4,1,0,10.796225,23,3,0.21428571428571427
30,汐止區,房地(土地+建物)+車位,商,108,19,住宅大樓(11層含以上有電梯),4,1,0,41.8176,22,7,0.5263157894736842
32,八里區,房地(土地+建物)+車位,住,108,9,華廈(10層含以下有電梯),4,1,0,42.87635,24,7,0.1111111111111111
33,淡水區,房地(土地+建物)+車位,住,108,13,住宅大樓(11層含以上有電梯),4,1,0,48.575450000000004,4,7,0.9230769230769231
34,淡水區,房地(土地+建物)+車位,住,108,10,華廈(10層含以下有電梯),4,1,1800000,71.37185,3,8,1.0
35,蘆洲區,房地(土地+建物)+車位,住,108,7,華廈(10層含以下有電梯),4,1,0,36.908025,19,7,0.2857142857142857
36,蘆洲區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,31.771575,21,7,1.0
37,蘆洲區,房地(土地+建物)+車位,住,108,13,住宅大樓(11層含以上有電梯),4,1,0,52.831625,7,7,0.6153846153846154
38,三重區,房地(土地+建物),住,108,4,公寓(5樓含以下無電梯),5,0,0,17.324175,48,4,1.0
42,永和區,房地(土地+建物),住,108,21,住宅大樓(11層含以上有電梯),4,1,0,22.17325,21,5,0.23809523809523808
43,中和區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,34.239975,39,8,1.0
45,永和區,房地(土地+建物),商,108,11,住宅大樓(11層含以上有電梯),4,1,0,31.959125,41,6,0.9090909090909091
48,中和區,房地(土地+建物)+車位,住,108,8,華廈(10層含以下有電梯),4,1,1600000,50.608250000000005,11,7,0.375
51,永和區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,0,0,51.485499999999995,38,7,0.42857142857142855
53,鶯歌區,房地(土地+建物)+車位,商,108,7,華廈(10層含以下有電梯),4,1,0,46.2341,23,7,0.8571428571428571
54,三峽區,房地(土地+建物)+車位,住,108,14,住宅大樓(11層含以上有電梯),4,1,0,38.847049999999996,14,7,0.7857142857142857
55,三峽區,房地(土地+建物),住,108,4,透天厝,4,1,0,88.078925,12,12,1.0
56,新莊區,房地(土地+建物)+車位,其他,108,14,住宅大樓(11層含以上有電梯),4,1,1000000,28.114349999999998,15,4,0.6428571428571429
57,泰山區,房地(土地+建物)+車位,住,108,6,華廈(10層含以下有電梯),4,0,1000000,61.952,18,8,0.5
58,新莊區,房地(土地+建物),住,108,8,華廈(10層含以下有電梯),4,1,0,33.985875,25,7,0.625
60,林口區,房地(土地+建物),商,108,4,公寓(5樓含以下無電梯),4,0,0,25.64595,40,4,0.75
64,汐止區,房地(土地+建物)+車位,住,108,17,住宅大樓(11層含以上有電梯),4,1,1200000,43.768724999999996,24,6,0.47058823529411764
66,三重區,房地(土地+建物),住,108,15,住宅大樓(11層含以上有電梯),4,1,0,30.903399999999998,11,6,0.3333333333333333
67,蘆洲區,房地(土地+建物),住,108,6,華廈(10層含以下有電梯),4,1,0,25.806275,28,5,0.8333333333333334
69,三重區,房地(土地+建物),商,108,14,住宅大樓(11層含以上有電梯),4,1,0,28.891775,23,7,0.42857142857142855
73,中和區,房地(土地+建物),住,108,14,住宅大樓(11層含以上有電梯),4,1,0,19.907525,11,5,0.42857142857142855
74,鶯歌區,房地(土地+建物),住,108,8,華廈(10層含以下有電梯),4,1,0,29.8144,28,6,0.625
75,土城區,房地(土地+建物),商,108,5,公寓(5樓含以下無電梯),4,0,0,22.868999999999996,40,6,0.6
76,五股區,房地(土地+建物),住,108,11,住宅大樓(11層含以上有電梯),4,1,0,34.972025,23,7,0.7272727272727273
77,五股區,房地(土地+建物)+車位,住,108,14,住宅大樓(11層含以上有電梯),4,1,0,32.860575,23,7,0.5
79,汐止區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,22.264,38,6,0.6
80,汐止區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,29.224525,25,5,0.08333333333333333
81,三重區,房地(土地+建物)+車位,住,108,7,華廈(10層含以下有電梯),4,0,0,36.3484,28,10,0.8571428571428571
83,板橋區,房地(土地+建物),商,108,23,住宅大樓(11層含以上有電梯),4,1,0,16.114175,5,3,0.5217391304347826
84,三峽區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,32.549,26,6,0.5714285714285714
85,樹林區,房地(土地+建物),住,108,9,華廈(10層含以下有電梯),4,1,0,37.246824999999994,18,7,0.6666666666666666
87,永和區,房地(土地+建物)+車位,住,108,16,住宅大樓(11層含以上有電梯),4,1,2200000,43.59025,24,7,0.3125
88,永和區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,24.805,41,7,0.6
96,新店區,房地(土地+建物),住,108,24,住宅大樓(11層含以上有電梯),4,1,0,34.85405,23,7,0.125
100,土城區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,0,0,36.048925,24,7,0.7142857142857143
102,三峽區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,37.8488,25,8,0.8
104,樹林區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,30.776349999999997,21,7,0.75
105,三峽區,房地(土地+建物),住,108,15,住宅大樓(11層含以上有電梯),4,1,0,34.7633,13,7,0.13333333333333333
115,中和區,房地(土地+建物)+車位,住,108,17,住宅大樓(11層含以上有電梯),4,1,0,33.18425,22,7,0.8823529411764706
116,永和區,房地(土地+建物)+車位,住,108,10,華廈(10層含以下有電梯),4,1,0,51.164849999999994,24,7,0.5
124,蘆洲區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,36.17295,15,7,1.0
129,淡水區,房地(土地+建物)+車位,商,103,29,住宅大樓(11層含以上有電梯),4,1,1100000,39.067875,-4,5,0.6896551724137931
134,淡水區,房地(土地+建物),住,108,16,住宅大樓(11層含以上有電梯),4,1,0,19.698800000000002,23,4,0.125
135,八里區,房地(土地+建物)+車位,住,108,15,住宅大樓(11層含以上有電梯),4,1,0,38.257175,1,4,1.0
145,汐止區,房地(土地+建物),住,108,6,華廈(10層含以下有電梯),4,0,0,35.767599999999995,27,8,1.0
148,新店區,房地(土地+建物),其他,108,2,透天厝,4,0,0,25.10145,41,5,1.0
153,林口區,房地(土地+建物),商,108,19,住宅大樓(11層含以上有電梯),4,1,0,30.3105,12,5,0.9473684210526315
157,泰山區,房地(土地+建物),住,108,7,套房(1房1廳1衛),4,1,0,13.6246,23,2,0.2857142857142857
162,林口區,房地(土地+建物),商,108,7,華廈(10層含以下有電梯),4,0,0,30.06245,26,7,0.7142857142857143
164,泰山區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,24.012449999999998,38,5,0.8
173,板橋區,房地(土地+建物),住,108,15,套房(1房1廳1衛),4,1,0,13.691149999999999,12,3,0.4666666666666667
178,板橋區,房地(土地+建物),住,108,4,公寓(5樓含以下無電梯),4,0,0,24.399649999999998,43,7,0.5
