,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
0,北區,房地(土地+建物),商,108,5,公寓(5樓含以下無電梯),4,0,0,26.181375,36,6,1.0
2,安平區,房地(土地+建物),住,108,2,透天厝,5,0,0,10.384825,51,4,1.0
3,安平區,房地(土地+建物)+車位,住,108,13,住宅大樓(11層含以上有電梯),4,1,0,36.92617499999999,23,7,0.23076923076923078
4,北區,房地(土地+建物),住,108,2,透天厝,5,0,0,28.395675,45,7,1.0
5,北區,房地(土地+建物),商,108,5,華廈(10層含以下有電梯),4,0,0,39.2161,33,8,0.6
6,中西區,房地(土地+建物),商,108,9,套房(1房1廳1衛),4,1,0,8.134225,25,3,0.6666666666666666
7,北區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,22.760099999999998,38,6,0.6
8,安南區,房地(土地+建物),住,108,3,透天厝,4,0,0,61.764450000000004,1,10,1.0
11,東區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,30.237899999999996,38,7,1.0
12,南區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,39.140474999999995,37,8,1.0
14,南區,房地(土地+建物),住,108,5,透天厝,4,0,0,78.85872499999999,24,13,1.0
15,新營區,房地(土地+建物),住,108,3,透天厝,4,0,0,62.13954999999999,0,9,1.0
17,佳里區,房地(土地+建物),住,108,4,透天厝,4,0,0,62.678,30,14,1.0
18,新市區,房地(土地+建物),住,108,2,透天厝,5,0,0,33.586574999999996,32,9,1.0
19,善化區,房地(土地+建物),住,108,2,透天厝,5,0,0,33.36575,37,6,1.0
20,仁德區,房地(土地+建物)+車位,商,108,14,住宅大樓(11層含以上有電梯),4,1,0,39.76665,21,7,0.7142857142857143
21,永康區,房地(土地+建物)+車位,住,108,18,住宅大樓(11層含以上有電梯),4,0,0,56.40112499999999,19,7,0.7222222222222222
22,永康區,房地(土地+建物),商,108,17,住宅大樓(11層含以上有電梯),4,1,0,52.82255,25,8,0.7058823529411765
23,永康區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,31.608224999999997,25,7,1.0
27,永康區,房地(土地+建物),其他,108,3,透天厝,4,0,0,66.262625,25,9,1.0
29,永康區,房地(土地+建物)+車位,住,108,6,華廈(10層含以下有電梯),4,1,0,30.72795,26,7,0.5
30,中西區,房地(土地+建物),住,108,4,公寓(5樓含以下無電梯),4,0,0,33.392975,39,7,1.0
31,永康區,房地(土地+建物),住,108,5,透天厝,4,0,0,63.9969,13,11,1.0
34,永康區,房地(土地+建物)+車位,商,108,26,住宅大樓(11層含以上有電梯),4,1,0,45.6775,23,7,0.34615384615384615
36,新市區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,33.211475,27,7,0.14285714285714285
37,東區,房地(土地+建物),住,108,23,住宅大樓(11層含以上有電梯),4,1,0,34.291399999999996,24,7,0.6086956521739131
38,東區,房地(土地+建物)+車位,其他,108,9,華廈(10層含以下有電梯),4,1,0,70.8334,25,10,0.1111111111111111
42,中西區,房地(土地+建物),住,108,4,透天厝,4,0,0,98.654325,27,13,1.0
43,中西區,房地(土地+建物),商,108,5,公寓(5樓含以下無電梯),4,0,0,20.802925,33,4,0.6
46,安平區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,23.985225,27,4,0.42857142857142855
48,中西區,房地(土地+建物),商,108,10,華廈(10層含以下有電梯),4,1,0,100.71435,37,9,0.3
51,北區,房地(土地+建物),住,108,25,住宅大樓(11層含以上有電梯),4,1,0,46.376275,24,7,0.36
53,安南區,房地(土地+建物)+車位,住,108,13,住宅大樓(11層含以上有電梯),4,1,0,49.5495,21,8,0.9230769230769231
56,東區,房地(土地+建物)+車位,商,108,14,住宅大樓(11層含以上有電梯),4,1,0,43.696124999999995,12,7,0.8571428571428571
57,南區,房地(土地+建物),住,108,7,套房(1房1廳1衛),4,0,0,8.884425,28,3,0.2857142857142857
58,東區,房地(土地+建物)+車位,住,108,16,住宅大樓(11層含以上有電梯),4,1,0,76.390325,24,8,0.9375
59,東區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,34.1825,25,7,0.5714285714285714
60,新營區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,0,0,44.4917,25,6,0.5714285714285714
61,麻豆區,房地(土地+建物),住,108,3,透天厝,4,0,0,52.0421,15,9,1.0
62,麻豆區,房地(土地+建物),住,107,8,華廈(10層含以下有電梯),4,1,0,35.356199999999994,24,5,0.625
64,佳里區,房地(土地+建物),住,108,10,華廈(10層含以下有電梯),4,0,0,43.91695,23,7,0.7
65,歸仁區,房地(土地+建物),住,108,4,透天厝,4,0,0,57.580875,4,10,1.0
66,永康區,房地(土地+建物),其他,108,19,住宅大樓(11層含以上有電梯),4,1,0,22.31845,24,5,0.631578947368421
67,楠西區,房地(土地+建物),住,108,10,套房(1房1廳1衛),4,1,0,13.760725,23,3,0.4
69,永康區,房地(土地+建物),住,108,6,華廈(10層含以下有電梯),4,1,0,31.523524999999996,26,7,0.5
75,善化區,房地(土地+建物)+車位,住,108,15,住宅大樓(11層含以上有電梯),4,1,0,45.538349999999994,5,5,0.6666666666666666
77,後壁區,房地(土地+建物),住,108,4,透天厝,4,0,0,50.8442,24,9,1.0
78,永康區,房地(土地+建物),住,108,7,套房(1房1廳1衛),4,0,0,7.910374999999999,25,2,0.8571428571428571
81,歸仁區,房地(土地+建物)+車位,住,108,12,住宅大樓(11層含以上有電梯),4,0,0,45.335675,23,6,0.8333333333333334
83,新化區,房地(土地+建物),住,108,2,透天厝,5,0,0,36.35445,32,9,1.0
86,新營區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,39.83924999999999,24,7,0.6
87,新營區,房地(土地+建物),商,108,3,透天厝,4,0,0,52.87095,25,10,1.0
90,東區,房地(土地+建物),其他,108,14,套房(1房1廳1衛),4,1,0,13.4068,11,2,0.7142857142857143
91,東區,房地(土地+建物),商,108,22,套房(1房1廳1衛),4,1,0,22.7238,28,6,0.9090909090909091
100,安平區,房地(土地+建物),商,108,24,住宅大樓(11層含以上有電梯),4,1,0,31.901649999999997,22,7,0.6666666666666666
104,安平區,房地(土地+建物),住,108,13,住宅大樓(11層含以上有電梯),4,1,0,39.394574999999996,23,8,0.23076923076923078
108,東區,房地(土地+建物),住,108,4,透天厝,4,0,0,76.26025,21,12,1.0
109,東區,房地(土地+建物)+車位,住,108,7,華廈(10層含以下有電梯),4,1,0,42.062625000000004,30,7,0.7142857142857143
111,鹽水區,房地(土地+建物)+車位,其他,108,5,華廈(10層含以下有電梯),4,0,0,43.992575,24,8,0.4
113,西港區,房地(土地+建物),住,108,8,華廈(10層含以下有電梯),4,0,0,40.640874999999994,25,6,0.125
119,永康區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,28.011499999999998,36,7,0.6
128,玉井區,房地(土地+建物),住,108,2,透天厝,5,0,0,29.312250000000002,41,8,1.0
129,永康區,房地(土地+建物)+車位,商,108,8,華廈(10層含以下有電梯),4,1,0,35.9975,19,7,0.625
132,將軍區,房地(土地+建物),住,108,3,透天厝,4,0,0,12.683824999999999,27,11,1.0
147,中西區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,26.23885,28,6,0.5714285714285714
154,安平區,房地(土地+建物)+車位,商,108,24,住宅大樓(11層含以上有電梯),4,1,0,49.504125,22,7,0.5833333333333334
159,東區,房地(土地+建物),商,108,18,住宅大樓(11層含以上有電梯),4,1,0,23.9096,23,5,0.8333333333333334
161,南區,房地(土地+建物)+車位,住,108,8,華廈(10層含以下有電梯),4,1,0,29.055124999999997,25,7,1.0
162,南區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,24.538800000000002,24,5,0.2857142857142857
167,新營區,房地(土地+建物)+車位,住,108,8,華廈(10層含以下有電梯),4,1,0,37.428325,25,7,0.875
168,白河區,房地(土地+建物),住,108,3,透天厝,4,0,0,45.87715,28,8,1.0
169,西港區,房地(土地+建物),住,107,4,透天厝,4,0,0,68.803625,0,10,1.0
171,仁德區,房地(土地+建物),住,108,2,透天厝,4,0,0,35.24125,30,9,1.0
174,永康區,房地(土地+建物),商,108,5,公寓(5樓含以下無電梯),4,0,0,25.3858,38,7,0.6
182,東區,房地(土地+建物),住,108,7,套房(1房1廳1衛),4,1,0,8.745275,30,3,1.0
183,下營區,房地(土地+建物),住,108,2,透天厝,5,0,0,56.207525,37,9,1.0
196,佳里區,房地(土地+建物),住,108,3,公寓(5樓含以下無電梯),4,0,0,30.1653,38,6,1.0
201,柳營區,房地(土地+建物),住,106,3,透天厝,4,0,0,52.26595,-1,10,1.0
202,南區,房地(土地+建物)+車位,住,108,14,套房(1房1廳1衛),4,1,0,21.063074999999998,22,3,0.35714285714285715
214,安平區,房地(土地+建物),商,108,13,套房(1房1廳1衛),4,1,0,10.844625,26,3,0.7692307692307693
217,東區,房地(土地+建物),其他,108,16,住宅大樓(11層含以上有電梯),4,1,0,44.730675,25,8,0.3125
225,新營區,房地(土地+建物),住,108,15,住宅大樓(11層含以上有電梯),4,1,0,26.610924999999998,24,7,0.13333333333333333
227,善化區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,24.209075,12,5,0.16666666666666666
240,佳里區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,41.369899999999994,25,7,0.5
249,仁德區,房地(土地+建物)+車位,住,108,10,華廈(10層含以下有電梯),4,1,0,59.692325000000004,9,8,0.2
255,新營區,房地(土地+建物),商,108,12,住宅大樓(11層含以上有電梯),4,1,0,66.71334999999999,22,7,0.6666666666666666
262,安南區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,29.8144,21,6,0.3333333333333333
