,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
0,文山區,房地(土地+建物),商,105,33,住宅大樓(11層含以上有電梯),1,1,0,34.9327,1,5,0.21212121212121213
1,文山區,房地(土地+建物),住,105,10,套房(1房1廳1衛),4,1,0,12.405524999999999,8,2,0.2
2,文山區,房地(土地+建物)+車位,住,105,12,住宅大樓(11層含以上有電梯),4,1,0,66.2717,5,7,0.75
3,文山區,房地(土地+建物)+車位,住,105,5,華廈(10層含以下有電梯),4,1,0,69.039575,7,8,0.8
4,萬華區,房地(土地+建物),住,105,12,住宅大樓(11層含以上有電梯),4,1,0,24.293775,34,4,0.75
5,萬華區,房地(土地+建物),住,105,5,套房(1房1廳1衛),4,0,0,11.011,41,3,0.2
6,內湖區,房地(土地+建物),住,105,5,公寓(5樓含以下無電梯),4,0,0,41.261,38,7,1.0
7,內湖區,房地(土地+建物)+車位,住,105,10,華廈(10層含以下有電梯),4,1,0,32.17995,17,4,0.3
9,內湖區,房地(土地+建物),住,105,8,華廈(10層含以下有電梯),4,1,0,11.011,20,3,0.5
13,南港區,房地(土地+建物),住,105,7,套房(1房1廳1衛),4,1,0,15.270199999999999,8,3,1.0
14,松山區,房地(土地+建物),住,105,7,華廈(10層含以下有電梯),4,1,0,63.676249999999996,28,8,0.5714285714285714
15,信義區,房地(土地+建物),商,105,14,套房(1房1廳1衛),4,1,0,13.639725,8,3,0.5
16,南港區,房地(土地+建物)+車位,住,105,10,住宅大樓(11層含以上有電梯),4,1,2500000,38.093825,8,5,0.8
17,士林區,房地(土地+建物),住,105,4,公寓(5樓含以下無電梯),4,1,0,45.734975,40,8,0.25
18,士林區,房地(土地+建物)+車位,住,105,7,華廈(10層含以下有電梯),4,1,0,82.1832,24,10,0.5714285714285714
19,北投區,房地(土地+建物),其他,105,7,華廈(10層含以下有電梯),4,1,0,44.2981,34,7,0.5714285714285714
20,北投區,房地(土地+建物),住,105,7,套房(1房1廳1衛),4,0,0,12.838099999999999,35,3,0.8571428571428571
21,士林區,房地(土地+建物)+車位,商,105,9,華廈(10層含以下有電梯),4,1,0,33.9889,18,7,1.0
22,大安區,房地(土地+建物),住,105,7,華廈(10層含以下有電梯),4,1,0,46.394425,34,12,1.0
24,中正區,房地(土地+建物),住,105,4,公寓(5樓含以下無電梯),4,0,0,31.5689,40,7,0.75
25,中山區,房地(土地+建物),商,105,6,套房(1房1廳1衛),4,1,0,8.315724999999999,34,2,0.8333333333333334
26,內湖區,房地(土地+建物)+車位,住,105,14,住宅大樓(11層含以上有電梯),4,1,0,72.379175,8,7,0.2857142857142857
27,中山區,房地(土地+建物),商,105,13,住宅大樓(11層含以上有電梯),4,1,0,9.380525,32,2,0.6923076923076923
28,北投區,房地(土地+建物),住,105,5,公寓(5樓含以下無電梯),4,0,0,28.374499999999998,34,6,1.0
29,大安區,房地(土地+建物),住,105,5,公寓(5樓含以下無電梯),4,0,0,27.984275,34,7,0.8
30,士林區,房地(土地+建物),住,105,2,透天厝,5,0,0,63.88195,47,12,1.0
31,萬華區,房地(土地+建物),商,105,12,住宅大樓(11層含以上有電梯),4,1,0,36.466375,21,7,0.25
32,大同區,房地(土地+建物)+車位,商,105,12,住宅大樓(11層含以上有電梯),4,1,0,72.6484,3,8,0.6666666666666666
33,萬華區,房地(土地+建物),商,105,12,套房(1房1廳1衛),4,1,0,5.77775,39,2,0.3333333333333333
34,文山區,房地(土地+建物),住,105,6,華廈(10層含以下有電梯),4,1,0,17.523825,19,6,1.0
35,大安區,房地(土地+建物)+車位,其他,105,12,住宅大樓(11層含以上有電梯),4,1,0,29.974725,30,7,0.8333333333333334
37,北投區,房地(土地+建物),住,105,10,華廈(10層含以下有電梯),4,1,0,29.654075,9,4,0.2
39,信義區,房地(土地+建物)+車位,商,105,14,住宅大樓(11層含以上有電梯),4,1,0,53.4578,31,7,1.0
40,信義區,房地(土地+建物),住,105,5,公寓(5樓含以下無電梯),4,0,0,31.92585,29,7,0.8
42,信義區,房地(土地+建物),住,105,12,住宅大樓(11層含以上有電梯),4,1,0,20.0739,34,6,0.8333333333333334
45,內湖區,房地(土地+建物)+車位,商,105,23,住宅大樓(11層含以上有電梯),4,1,5000000,114.93487499999999,2,8,0.30434782608695654
49,中正區,房地(土地+建物),商,101,15,套房(1房1廳1衛),4,1,0,16.852275,-3,3,0.26666666666666666
50,文山區,房地(土地+建物),商,105,12,套房(1房1廳1衛),4,0,0,10.073249999999998,1,3,0.5
51,中正區,房地(土地+建物),住,105,8,套房(1房1廳1衛),4,1,0,11.619024999999999,10,3,0.25
52,大同區,房地(土地+建物),商,105,14,住宅大樓(11層含以上有電梯),4,1,0,17.148725,7,4,0.7142857142857143
54,文山區,房地(土地+建物),住,105,11,住宅大樓(11層含以上有電梯),4,1,0,66.486475,23,8,0.09090909090909091
56,中山區,房地(土地+建物),商,105,7,華廈(10層含以下有電梯),4,0,0,52.825575,28,11,1.0
57,中山區,房地(土地+建物),住,105,4,公寓(5樓含以下無電梯),4,0,0,25.5552,44,5,1.0
61,松山區,房地(土地+建物),商,105,16,住宅大樓(11層含以上有電梯),4,1,0,73.92495,33,10,0.6875
62,南港區,房地(土地+建物),住,105,9,華廈(10層含以下有電梯),4,1,0,36.006575,11,7,0.4444444444444444
65,南港區,房地(土地+建物)+車位,住,105,10,華廈(10層含以下有電梯),4,1,0,55.675125,4,7,0.4
66,士林區,房地(土地+建物),住,105,7,華廈(10層含以下有電梯),4,1,0,42.020275,31,7,0.42857142857142855
67,士林區,房地(土地+建物)+車位,住,105,12,住宅大樓(11層含以上有電梯),4,1,0,58.355275,7,7,0.16666666666666666
69,萬華區,房地(土地+建物),住,105,5,公寓(5樓含以下無電梯),4,0,0,9.43195,41,3,1.0
70,內湖區,房地(土地+建物)+車位,住,105,3,公寓(5樓含以下無電梯),4,0,0,18.540225,26,5,0.3333333333333333
71,北投區,房地(土地+建物),商,105,4,公寓(5樓含以下無電梯),4,0,0,32.21625,41,7,1.0
73,北投區,房地(土地+建物),其他,105,8,套房(1房1廳1衛),4,1,0,9.804025,36,3,0.625
74,南港區,房地(土地+建物),住,105,5,公寓(5樓含以下無電梯),4,0,0,31.190775,34,13,1.0
75,大安區,房地(土地+建物),其他,104,12,住宅大樓(11層含以上有電梯),4,1,0,18.558375,37,4,0.6666666666666666
76,大安區,房地(土地+建物),商,105,16,住宅大樓(11層含以上有電梯),4,1,0,38.638325,28,8,0.9375
78,松山區,房地(土地+建物),其他,105,15,住宅大樓(11層含以上有電梯),4,1,0,35.5982,37,6,0.7333333333333333
83,內湖區,房地(土地+建物),住,105,12,住宅大樓(11層含以上有電梯),4,1,0,24.057825,8,4,1.0
85,內湖區,房地(土地+建物),住,105,7,套房(1房1廳1衛),4,1,0,11.706750000000001,23,3,0.7142857142857143
87,士林區,房地(土地+建物),商,105,10,華廈(10層含以下有電梯),4,1,0,32.642775,38,7,0.8
95,信義區,房地(土地+建物),住,105,10,華廈(10層含以下有電梯),4,1,0,28.18695,10,5,0.6
96,松山區,房地(土地+建物),住,105,13,住宅大樓(11層含以上有電梯),4,0,0,38.14525,38,6,0.23076923076923078
97,信義區,房地(土地+建物),商,105,12,住宅大樓(11層含以上有電梯),4,1,0,25.809299999999997,35,4,1.0
108,中山區,房地(土地+建物)+車位,住,105,12,住宅大樓(11層含以上有電梯),4,1,0,53.65745,23,7,0.08333333333333333
113,中山區,房地(土地+建物),住,105,6,華廈(10層含以下有電梯),4,0,0,33.804375,44,7,1.0
114,萬華區,房地(土地+建物)+車位,住,105,7,華廈(10層含以下有電梯),4,1,0,50.48725,28,9,1.0
115,大同區,房地(土地+建物)+車位,住,105,8,華廈(10層含以下有電梯),4,1,0,56.485825,13,8,0.5
120,文山區,房地(土地+建物),住,105,5,公寓(5樓含以下無電梯),4,0,0,35.716175,35,7,1.0
122,文山區,房地(土地+建物)+車位,其他,105,19,住宅大樓(11層含以上有電梯),4,1,0,61.22297499999999,5,7,0.7368421052631579
123,大同區,房地(土地+建物),商,105,5,公寓(5樓含以下無電梯),4,0,0,22.472725,32,7,0.4
124,萬華區,房地(土地+建物),其他,105,5,公寓(5樓含以下無電梯),4,0,0,30.237899999999996,42,6,0.8
126,萬華區,房地(土地+建物),商,105,10,華廈(10層含以下有電梯),4,0,0,38.641349999999996,29,5,0.9
137,南港區,房地(土地+建物)+車位,商,105,15,住宅大樓(11層含以上有電梯),4,1,0,52.5503,8,8,0.2
141,北投區,房地(土地+建物),其他,105,5,公寓(5樓含以下無電梯),4,1,0,32.939225,33,7,0.8
145,大安區,房地(土地+建物),住,105,8,套房(1房1廳1衛),4,1,0,10.6601,7,3,0.75
146,大安區,房地(土地+建物),商,105,4,公寓(5樓含以下無電梯),4,0,0,30.386125,44,12,0.5
148,大安區,房地(土地+建物)+車位,住,105,12,住宅大樓(11層含以上有電梯),4,1,0,86.57549999999999,2,7,0.75
149,大同區,房地(土地+建物),住,105,8,套房(1房1廳1衛),4,0,0,14.238674999999999,12,3,0.5
151,文山區,房地(土地+建物),其他,104,13,套房(1房1廳1衛),4,1,0,10.968649999999998,19,3,0.23076923076923078
161,內湖區,房地(土地+建物)+車位,商,105,12,套房(1房1廳1衛),4,1,0,16.192825,9,3,0.4166666666666667
164,大同區,房地(土地+建物),住,105,5,公寓(5樓含以下無電梯),4,0,0,19.0454,43,5,0.8
165,萬華區,房地(土地+建物)+車位,住,105,12,住宅大樓(11層含以上有電梯),4,1,0,47.347300000000004,12,7,0.3333333333333333
166,大安區,房地(土地+建物)+車位,商,105,14,住宅大樓(11層含以上有電梯),4,1,1900000,40.8375,4,7,0.5714285714285714
167,北投區,房地(土地+建物)+車位,住,104,5,華廈(10層含以下有電梯),4,1,2000000,58.158649999999994,0,7,1.0
168,士林區,房地(土地+建物),住,105,14,住宅大樓(11層含以上有電梯),4,1,0,43.060874999999996,9,7,0.5714285714285714
172,松山區,房地(土地+建物)+車位,住,105,7,華廈(10層含以下有電梯),4,1,0,26.619999999999997,8,5,0.42857142857142855
